Quel est le concept désignant l'esprit humain comme nouvel espace de conflictualité ?,"Le ""sixième domaine de la guerre""."
Quelle est la différence fondamentale entre la guerre de l'information et la guerre cognitive ?,"L'information cible le flux de données, tandis que le cognitif cible la manière dont le cerveau traite ces données."
"Selon l'OTAN, quel est l'objectif principal du ""Warfighting Capstone Concept"" de 2021 ?","Atteindre la ""supériorité cognitive""."
"Dans la doctrine russe, quel terme désigne la manipulation du processus de décision de l'adversaire ?","Le ""Reflexive Control"" (Contrôle réflexif)."
"Quel pays privilégie la ""guerre cognitive algorithmique"" basée sur l'IA et le Big Data ?",La Chine.
"Expliquez l'effet de la ""stimulation répétée"" sur le traitement cérébral d'une information fausse.","Elle réduit le coût psychologique du traitement, facilitant l'acceptation subconsciente de l'erreur."
Quel mécanisme neurobiologique la guerre cognitive sature-t-elle pour créer une incertitude permanente ?,"Le ""signal d'erreur""."
"Dans le cadre de l'influence émotionnelle, quelle structure cérébrale est favorisée au détriment du cortex préfrontal ?",L'amygdale.
"Quel est l'objectif ultime du ""stratège du chaos"" dans une guerre asymétrique ?",Convaincre les dirigeants adverses qu'aucun état final stable n'est possible.
"Définissez le concept de ""fermeture épistémique"" dans les réseaux sociaux.",Le rejet systématique de toute information contredisant le narratif dominant du groupe.
Quelle est la première étape du modèle chinois en six étapes pour façonner la cognition ?,Le portrait de l'utilisateur via l'analyse psychologique par le Big Data.
"Dans le modèle chinois, quel est le but de la ""supervision de la gratification"" ?",Renforcer l'enfermement dans un nouveau cadre cognitif via la mesure de la gratification sociale.
Quel est l'impact principal des algorithmes de recommandation sur la diversité d'opinion ?,"Ils créent des ""chambres d'écho"" en limitant l'exposition aux points de vue divergents."
"Selon la théorie du chaos, qu'est-ce que la ""sensibilité aux conditions initiales"" ?",Le fait que de petites perturbations (ex: rumeur) puissent entraîner des conséquences nationales disproportionnées.
Donnez l'équation de l'évolution de la variable $x$ dans l'attracteur de Lorenz.,$\frac{dx}{dt} = \sigma(y - x)$.
Quel paramètre de l'attracteur de Lorenz symbolise le niveau de méfiance publique en guerre cognitive ?,Le paramètre $\rho$.
Quelles sont les quatre étapes de la boucle OODA ?,"Observation, Orientation, Décision, Action."
Dans quel domaine du cadre de Snowden la boucle OODA s'effondre-t-elle ?,"Dans les domaines ""complexe"" ou ""chaotique""."
"Dans le modèle épidémiologique SIR appliqué aux rumeurs, que signifie la catégorie 'E' ?","Les ""Étouffeurs"" (individus ayant cessé de diffuser l'information)."
Quelle est la formule du nombre de reproduction de base $R_0$ pour une rumeur ?,$R_0 = \frac{\beta N}{\alpha + \gamma + \mu}$.
Que représente le paramètre $\beta$ dans le modèle de propagation des rumeurs ?,Le taux de transmission ou la viralité de l'information.
Quel est l'effet de l'introduction d'un délai temporel $\tau$ dans les modèles de propagation ?,Il peut induire des oscillations chaotiques et des résurgences brutales de rumeurs.
"Définissez la ""résilience dynamique"" (ou opérationnelle).",La capacité de combattre à travers la perturbation et de maintenir l'initiative sous stress.
"Qu'est-ce que l'""extensibilité gracieuse"" (Graceful Extensibility) ?",La capacité d'un système à étendre ses capacités de réponse au-delà de ses limites normales.
