Quel est le concept désignant l'esprit humain comme le nouveau champ de bataille du XXIe siècle ?,Le sixième domaine de la guerre (ou domaine cognitif).
Quelle est la cible principale de la guerre de l'information par rapport à la guerre cognitive ?,"L'information cible le flux de données, tandis que la cognitive cible le traitement de ces données."
Quel objectif l'OTAN a-t-elle défini dans son 'Innovation Hub' pour protéger les processus démocratiques ?,La supériorité cognitive (Cognitive Superiority).
L'approche russe de la guerre cognitive privilégie la _____ pour paralyser la volonté politique adverse.,désinformation systématique
Quelle puissance géopolitique s'oriente vers une 'guerre cognitive algorithmique' utilisant l'IA ?,La Chine.
Quel est l'effet de la 'stimulation répétée' sur le cerveau lors du traitement d'une information fausse ?,"Elle réduit le coût psychologique du traitement, facilitant son acceptation subconsciente."
Comment appelle-t-on le signal envoyé par le cerveau lorsqu'une information contredit des croyances profondes ?,Le signal d'erreur.
Quel organe cérébral est privilégié par les narratifs émotionnels au détriment du cortex préfrontal ?,L'amygdale.
Quel est l'objectif d'un 'stratège du chaos' concernant les dirigeants politiques adverses ?,Les convaincre qu'aucune solution stable ou état final n'est possible.
Le phénomène où les individus rejettent toute information contredisant leur narratif de groupe est la _____.,fermeture épistémique
"Dans le modèle chinois en six étapes, que signifie le 'Portrait de l'utilisateur' ?",L'identification des cibles et l'analyse de leur état psychologique par le Big Data.
Quelle est la quatrième étape du modèle de manipulation chinois ?,L'induction de réaction (enfermement dans des chambres d'écho).
Quel est le moteur principal de polarisation dans les plateformes numériques selon le texte ?,Les algorithmes de recommandation.
"Selon l'analogie de la théorie du chaos, qu'est-ce que l'effet papillon appliqué à l'information ?",Une simple rumeur injectée au bon moment peut déclencher une crise nationale.
"Dans l'attracteur de Lorenz appliqué à la cognition, que représente le paramètre $\rho$ ?",Le niveau de méfiance publique.
"Dans l'attracteur de Lorenz appliqué à la cognition, que représente le paramètre $\sigma$ ?",La vélocité de l'information.
Quel est le cadre de référence pour la prise de décision militaire visé par la guerre cognitive ?,"La boucle OODA (Observation, Orientation, Décision, Action)."
"Selon Dave Snowden, dans quel état d'environnement la boucle OODA s'effondre-t-elle ?",L'état chaotique (pas de relation cause-effet visible).
"Dans le modèle SIR appliqué aux rumeurs, que représente la catégorie 'P' ?",Les Propagateurs.
"Dans le modèle SIR appliqué aux rumeurs, que représente la catégorie 'E' ?",Les Étouffeurs (individus ayant cessé de diffuser l'information).
Quelle est la formule du nombre de reproduction de base $R_0$ pour une rumeur ?,$R_0 = \frac{\beta N}{\alpha + \gamma + \mu}$
Que représente le paramètre $\beta$ dans le modèle de propagation d'une rumeur ?,Le taux de transmission (virilité de l'information).
Que représente le paramètre $\gamma$ dans le modèle de propagation d'une rumeur ?,Le taux de récupération suite à une vérification des faits (fact-checking).
Quel paramètre induit une instabilité chaotique dans la propagation s'il représente le temps de réflexion ?,Le délai temporel (noté $\tau$).
Comment appelle-t-on la capacité d'un système à maintenir l'initiative et à s'adapter pendant une perturbation ?,La résilience dynamique (ou opérationnelle).
Concept : Graceful Extensibility,Définition : Capacité d'un système à étendre ses réponses au-delà de ses limites normales sous pression.
Quelle stratégie consiste à engager les adversaires dans leurs propres réseaux avant qu'ils n'attaquent ?,La défense avancée (Defend Forward).
Quel est le pilier de défense cognitive à long terme basé sur la sensibilisation aux biais ?,L'immunisation mentale (ou éducation).
"Dans la théorie de Miller, quels sont les deux types de dommages spécifiques à la guerre cognitive ?",Les dommages psychologiques aux humains et les dommages aux institutions.
Quelle théorie russe vise à amener l'adversaire à prendre une décision prédéterminée en croyant agir librement ?,La théorie du contrôle réflexif (Reflexive Control).
"Les 'Trois Warfares' de la doctrine chinoise incluent la guerre psychologique, la guerre de l'opinion et la _____.",guerre juridique
"Dans le modèle Cynefin, quel mécanisme correspond à un environnement 'Complexe' ?",Sonder - Percevoir - Répondre.
Quel est le danger du 'dilemme du prisonnier' appliqué à la censure d'État ?,Perdre la confiance de la population et la pousser vers des sources radicales.
Qu'est-ce que le 'MRT-C' dans le cadre de la sécurité nationale ?,Mission-Relevant Terrain in Cyberspace (infrastructures virtuelles critiques).
Quel syndrome de 2016 illustre l'usage possible de technologies invasives contre le système nerveux ?,Le syndrome de La Havane.
Quel est l'objectif des 'Opérations basées sur les effets' (EBO) ?,Paralyser le leadership de l'intérieur en attaquant ses structures de commandement.
Comment l'IA transforme-t-elle la manipulation de l'information selon le texte ?,Elle transforme la manipulation artisanale en une industrie de précision personnalisée.
Quelle est l'équation fondamentale du risque de protection ?,$Risque = \frac{Menace \times Vulnérabilité}{Capacité}$
"Dans l'analyse de protection, quel facteur représente les ressources d'une communauté pour prévenir une menace ?",La Capacité.
Quelles étaient les motivations principales de la LRA en Ouganda pour le recrutement d'enfants ?,Croyances politiques et religieuses du chef (Kony).
Exemple de 'Vulnérabilité' dans le cas du recrutement forcé d'enfants en Ouganda :,"Le manque d'endroits où se cacher, particulièrement la nuit."
Quelle action de la part des familles ougandaises a augmenté leur 'Capacité' face aux enlèvements ?,L'envoi des enfants dans des villes éloignées (comme Kampala).
