"Quel est le ""sixième domaine de la guerre"" apparu au XXIe siècle ?",Le cerveau ou l'esprit humain.
Quelle est la différence fondamentale entre la guerre de l'information et la guerre cognitive ?,"L'information cible le flux de données, tandis que la cognition cible le traitement de ces données pour construire la réalité."
Quel concept l'OTAN a-t-elle désigné comme impératif de développement à long terme dans son concept de 2021 ?,La supériorité cognitive (Cognitive Superiority).
Quelle est la cible principale de la doctrine russe en matière de guerre cognitive ?,La désinformation systématique pour diviser et paralyser la volonté politique adverse.
Sur quel outil technologique repose la guerre cognitive chinoise pour façonner les perceptions ?,L'intelligence artificielle et les algorithmes (guerre cognitive algorithmique).
"Dans la doctrine chinoise, quels sont les trois piliers de la ""Three Warfares"" ?","La guerre psychologique, la guerre de l'opinion publique et la guerre juridique."
"Pourquoi le principe de ""stimulation répétée"" facilite-t-il l'acceptation d'une fausse information ?","Elle réduit le coût psychologique du traitement, facilitant l'acceptation subconsciente par le cerveau."
Quel mécanisme neurobiologique est activé lorsqu'une information contredit les croyances profondes d'un individu ?,Le signal d'erreur.
"En guerre cognitive, quel organe limbique est privilégié par les narratifs émotionnels au détriment du cortex préfrontal ?",L'amygdale.
"Quel est l'objectif d'un ""stratège du chaos"" envers les dirigeants politiques adverses ?",Les convaincre qu'aucune solution claire ou état final stable n'est possible.
Comment appelle-t-on les constructions idéologiques émotionnelles se propageant de manière virale sur les réseaux sociaux ?,Les contagions cognitives.
Quel terme désigne l'état où des individus rejettent toute information contredisant leur narratif dominant au sein d'une communauté ?,La fermeture épistémique.
"Dans le modèle chinois en six étapes, quelle est la première phase de la manipulation cognitive ?",Le portrait de l'utilisateur via le Big Data.
Quel est l'impact principal des algorithmes de recommandation sur la diversité des points de vue ?,Ils créent des chambres d'écho en limitant l'exposition aux opinions divergentes.
"Selon les études, quel trait psychologique rend les électeurs plus réceptifs aux contenus algorithmiques extrêmes ?",L'instabilité émotionnelle.
"En théorie du chaos, comment appelle-t-on le phénomène où une rumeur minime peut déclencher une crise nationale ?",L'effet papillon.
"Dans les équations de Lorenz, quel paramètre $\rho$ peut être manipulé pour simuler le niveau de méfiance publique ?",Le paramètre $\rho$ (rhô).
Que signifie l'acronyme de la boucle décisionnelle corrompue par la guerre cognitive ?,"OODA (Observation, Orientation, Décision, Action)."
"Selon Dave Snowden, que se passe-t-il pour la boucle OODA dans un environnement ""chaotique"" ?","Elle s'effondre, entraînant une paralysie ou des erreurs fatales."
"Dans le modèle SIR appliqué aux rumeurs, que représente la catégorie 'E' ?",Les Étouffeurs (individus ayant cessé de diffuser l'information).
Quelle est la formule du nombre de reproduction de base $R_0$ dans la propagation d'une rumeur ?,$R_0 = \frac{\beta N}{\alpha + \gamma + \mu}$
Quel effet l'introduction de délais temporels ($\tau$) a-t-elle sur un système de propagation d'information ?,Elle peut induire une instabilité ou des oscillations chaotiques.
Qu'est-ce que l'homophilie de réseau dans le contexte de la désinformation ?,"La tendance des individus à se connecter à ceux qui partagent leurs croyances, accélérant la circulation des rumeurs."
"Quelle est la définition de la ""résilience dynamique"" ?",La capacité de combattre à travers la perturbation et de s'adapter au contact de l'ennemi.
Concept : Extensibilité gracieuse (Graceful Extensibility),Définition : Capacité d'un système à étendre ses réponses au-delà de ses limites normales face à une pression extrême.
Qu'est-ce que la MRT-C dans le domaine de la cyber-résilience ?,Le terrain critique pour la mission dans le cyberespace (Mission-Relevant Terrain in Cyberspace).
Quelle stratégie consiste à engager l'adversaire dans ses propres réseaux avant qu'il ne lance d'attaques massives ?,La défense avancée (Defend Forward).
Comment appelle-t-on la protection mentale des populations via la sensibilisation aux biais cognitifs ?,L'immunisation cognitive.
Quel dilemme guette les États démocratiques lorsqu'ils tentent de réguler l'information ?,Le dilemme du prisonnier appliqué à la censure (risque de perdre la confiance du public).
"Selon Bernard Claverie, que ciblent précisément les sciences cognitives ""dures"" ?",La pensée comme un objet matériel via les neurosciences et les sciences du numérique.
Quel nom porte l'ensemble de symptômes incapacitants suspectés d'être causés par une arme neurobiologique à Cuba ?,Le syndrome de La Havane.
Quel projet français vise à développer des simulations de crises fictives pour la guerre cognitive ?,Le projet Gecko.
"Dans l'analyse des risques de protection, quels sont les trois facteurs de l'équation du risque ?","Menace, Vulnérabilité et Capacité."
Citez un exemple de déclencheur de vulnérabilité au niveau micro (individuel) en guerre cognitive.,Le besoin d'appartenance sociale (ou l'inflexibilité cognitive).
Quelle technique russe vise à fournir à l'adversaire des informations l'amenant à prendre volontairement une décision prédéterminée ?,Le contrôle réflexif (Reflexive Control).
"Dans le modèle SIR, que représente le paramètre $\beta$ ?",Le taux de transmission (virilité de l'information).
"Quel organe du cerveau est responsable de la régulation rationnelle et de la planification, souvent court-circuité par la peur ?",Le cortex préfrontal.
Pourquoi la zone grise est-elle privilégiée pour les attaques cognitives ?,Parce qu'il est difficile de définir un acte de guerre pour des manipulations restant sous le seuil cinétique.
Que cherche à provoquer l'injection de désordre dans le système adverse par un agresseur ?,Une paralysie institutionnelle.
"Dans le modèle de Snowden, quel type d'environnement nécessite de ""sonder"" avant de percevoir ?",L'environnement complexe.
Vrai ou Faux : Les rumeurs peuvent ressurgir brutalement à cause des non-linéarités du système social.,Vrai.
Quelle est la quatrième étape du modèle d'analyse du risque systémique global ?,L'événement systémique (crise majeure affectant la stabilité de l'État).
Quel outil permet de créer des contenus audiovisuels ultra-réalistes mais faux (Deepfakes) ?,L'IA générative.
"Dans le cadre de l'OTAN, quel est le but de la ""Cognitive Superiority"" pour les décideurs ?",Mieux comprendre l'environnement opérationnel et l'adversaire pour décider plus vite et mieux.
"Comment appelle-t-on l'utilisation de l'IA pour enfermer les individus dans des ""cocons"" de sens identiques ?",Les cocons sémantiques.
Quel paramètre du SIR représente le taux de passage à l'état d'étouffeur par perte d'intérêt ?,$\alpha$ (alpha).
L'équation $\frac{dx}{dt} = \sigma(y - x)$ fait partie de quel modèle mathématique ?,L'attracteur de Lorenz (théorie du chaos).
"Quel est l'objectif des ""Pools de données"" dans la cybersécurité moderne ?",Partager anonymement des menaces en temps réel pour anticiper les vagues de désinformation.
Quel risque pose la dépendance totale aux technologies de l'information selon le texte ?,Une vulnérabilité systémique et interconnectée.
"En guerre cognitive, comment appelle-t-on le fait d'attaquer le leadership de ""l'intérieur vers l'extérieur"" ?",Le principe des opérations basées sur les effets (EBO).
Pourquoi la vérité devient-elle une variable secondaire dans une chambre d'écho ?,Parce que l'appartenance au groupe et le renforcement des préjugés priment sur les faits rationnels.
"Dans le modèle de l'OTAN, quel type d'harm Miller identifie-t-il spécifiquement pour la guerre cognitive ?",Le dommage psychologique aux humains et le dommage aux institutions.
Quel terme désigne la manipulation de la viralité pour faire paraître un sujet naturellement populaire ?,La suggestion de références (dans le modèle chinois).
Quelle discipline étudie la sensibilité d'un système aux conditions initiales ?,La théorie du chaos.
Quelle est la fonction du paramètre $\gamma$ dans le modèle SIR des rumeurs ?,Le taux de récupération suite à une vérification des faits (fact-checking).
Quelle est la conséquence d'un signal d'erreur saturé en permanence ?,Un stress cognitif permanent qui pousse vers des réactions émotionnelles impulsives.
"Dans la gestion des risques de protection, que signifie la 'Capacité' ?",Les ressources et tactiques qu'utilisent les communautés pour prévenir ou arrêter une menace.
"Quel vecteur de menace utilise des narratifs historiques pour provoquer un ""chaos environnemental"" en Afrique ?",La Russie.
Quelle dimension de la cognition concerne l'apport initial d'information ?,L'input.
Pourquoi les démocraties sont-elles structurellement plus vulnérables à la guerre cognitive ?,"À cause de leur transparence, de la liberté d'expression et du rejet des méthodes de contrôle autoritaires."
Quel terme de la boucle OODA est spécifiquement biaisé par les perceptions déformées en guerre cognitive ?,L'Orientation.
"Dans le modèle SIR, que représente $N$ ?",La population totale.
Quel est l'effet d'une bifurcation dans un système de propagation d'information ?,"Un changement brusque de comportement, comme la résurgence soudaine d'une rumeur oubliée."
Qu'est-ce que le micro-ciblage psychographique ?,"L'utilisation de données personnelles (likes, intentions) pour créer des messages taillés sur mesure pour exploiter les peurs individuelles."
"Quelle est la différence entre un système ""compliqué"" et ""complexe"" selon Snowden ?","Le compliqué nécessite une expertise pour l'analyse, le complexe a une causalité émergente visible seulement a posteriori."
Citez un risque macro-sociétal favorisant la guerre cognitive selon l'OTAN.,Le populisme anti-établissement (ou le manque de littératie médiatique).
"Quel est le but ultime de la ""neuro-guerre"" ?",Contrôler la souveraineté d'un État au cœur même de l'esprit de ses citoyens.
"Dans l'analyse de cas de l'Ouganda (LRA), quel était l'objectif du recrutement d'enfants ?",Faire renaître une nouvelle génération d'Acholis suivant Kony.
Quel mécanisme permet à l'IA de superviser la gratification sociale ?,La mesure des interactions sociales pour renforcer l'enfermement dans un cadre cognitif.
"Pourquoi la ""défense en profondeur"" en guerre cognitive nécessite-t-elle des partenariats public-privé ?",Parce que les infrastructures et les données nécessaires à la défense appartiennent majoritairement au secteur privé.
Quel impact a la perte de confiance dans les institutions démocratiques selon le texte ?,Elle rend la société ingouvernable et vulnérable aux influences étrangères.
Quel facteur peut neutraliser la force technologique brute dans une guerre asymétrique ?,L'exploitation des dépendances informationnelles et de la complexité sociale.
