Quelle est la différence fondamentale entre le but de la guerre cyber et celui de la guerre cognitive ?,"Pour la guerre cyber, l'effet cognitif est une conséquence, tandis que pour la guerre cognitive, il est le but de l'action."
Dans quel domaine la guerre cyber opère-t-elle principalement ?,"Elle opère dans le domaine technique, visant la déstabilisation d'infrastructures vitales ou stratégiques."
Quel est le principal domaine d'action de la guerre cognitive ?,"Elle opère dans le domaine humain, visant à déstabiliser des populations ou des personnes-clés."
"Qu'est-ce que la ""Military Brain Science"" (MBS) selon Jin et al. (2018) ?","C'est une science innovante visant à surveiller, protéger, lutter contre, réparer, et améliorer le cerveau à des fins militaires."
En quoi la guerre cognitive se distingue-t-elle de la Military Brain Science (MBS) concernant ses cibles ?,"La MBS est centrée sur le cerveau du militaire, alors que la guerre cognitive peut concerner n'importe quel individu (civil, dirigeant, militaire) ou groupe."
Quelle est la caractéristique de la guerre cognitive en termes d'acteurs ?,"Elle peut être menée par de petits groupes d'acteurs, voire des individus isolés, contre des cibles situées partout dans le monde."
"Selon le ministère de la Défense chinois, quelle tactique de manipulation sur les réseaux sociaux vise à saturer l'espace informationnel avec un seul récit dominant ?","La coupure de l’opinion publique, en utilisant des bots, l'automatisation et l'IA."
"Quelle tactique de manipulation sur les réseaux sociaux, identifiée par la Chine, utilise des trolls et des récits biaisés pour propager une vision du monde spécifique ?",La compétition discursive.
"Le blocage de l'information, une tactique de guerre cognitive, implique l'utilisation d'attaques _____ pour empêcher l'adversaire de diffuser ses propres informations.",cyber
Comment les failles cognitives humaines peuvent-elles être instrumentalisées dans des stratégies offensives de guerre cognitive ?,"Un agresseur peut utiliser des informations cadrées pour déclencher des raccourcis de pensée, détourner l'attention ou susciter des réactions émotionnelles."
Quels sont les quatre facteurs identifiés comme les plus influents pour augmenter l'impact persuasif d'un message textuel ?,"La présence de détails, d’exemples, de sources et de répétitions."
"Selon l'étude, quel profil de participant accorde plus de confiance à la présence de chiffres dans un message ?",Les participants les plus sensibles à la désinformation.
Quel est le nom de la loi américaine de 1977 visant à lutter contre la corruption d'agents publics étrangers ?,Le Foreign Corrupt Practices Act (FCPA).
Quelle loi américaine de 1977 permet au président d'agir unilatéralement contre un pays en cas d'urgence nationale par des mesures coercitives économiques ?,L'International Emergency Powers Act (IEEPA).
"Quel est le principe du multilatéralisme ""coercitif"" mis en place par les États-Unis lors de la création de l'ONU ?",Assurer qu'aucune coercition contre les États-Unis ne soit possible grâce au droit de veto des cinq membres permanents du Conseil de sécurité.
Quel était le principal objectif des Accords de Bretton Woods en 1944 ?,Établir un nouveau système financier international où le dollar américain devenait la seule monnaie convertible en or.
Comment les États-Unis ont-ils utilisé le Plan Marshall pour façonner le terrain de jeu économique après la Seconde Guerre mondiale ?,En conditionnant l'aide à l'achat de produits américains et à l'adoption de standards et méthodes de production américains.
